"responseid	respid	d3	d5	d6a	dagechildfinal	d7	d8	ITEM_01	ITEM_02	ITEM_03	ITEM_04	ITEM_05	ITEM_06	ITEM_07	ITEM_08	ITEM_09	ITEM_10	ITEM_11	ITEM_12	ITEM_13	ITEM_14	ITEM_15	ITEM_16	ITEM_17	ITEM_18	ITEM_19	ITEM_20	ITEM_21	ITEM_22	ITEM_23	ITEM_24	ITEM_25	a2	a3_1	a3_2	a3_3	a3dk	a4_1	a5_1	a6_1	a4_2	a5_2	a6_2	a4_3	a5_3	a6_3	a7	a10_1	a10_2	a10_3	a10_4	a10_5	a10_6	a10_7	a10_8	a10_9	a10_10	a10_11	a10_12	dob	gender	age	ageband	natrepage	gor	child_gender	c_age	white	ITEM_07r	ITEM_21r	ITEM_25r	ITEM_11r	ITEM_14r	rc_game_01_name	rc_game01_edition	pegi_one_violence	rc_game01_confidence	rc_game_01_rating_ESRB	rc_game_01_esrb_Alcohol	rc_game_01_esrb_Animated_Blood	rc_game_01_esrb_Blood	rc_game_01_esrb_Blood_and_Gore	rc_game_01_esrb_Cartoon_Violence	rc_game_01_esrb_Comic_Mischief	rc_game_01_esrb_Crude_Humor	rc_game_01_esrb_Drug_Reference	rc_game_01_esrb_Fantasy_Violence	rc_game_01_esrb_Intense_Violence	rc_game_01_esrb_Language	rc_game_01_esrb_Lyrics	rc_game_01_esrb_Mature_Humor	rc_game_01_esrb_Nudity	rc_game_01_esrb_Partial_Nudity	rc_game_01_esrb_Real_Gambling	rc_game_01_esrb_Sexual_Content	rc_game_01_esrb_Sexual_Themes	rc_game_01_esrb_Sexual_Violence	rc_game_01_esrb_Simulated_Gambling	rc_game_01_esrb_Strong_Language	rc_game_01_esrb_Strong_Lyrics	rc_game_01_esrb_Strong_Sexual_Content	rc_game_01_esrb_Suggestive_Themes	rc_game_01_esrb_Tobacco_Reference	rc_game_01_esrb_Use_of_Alcohol	rc_game_01_esrb_Use_of_Drugs	rc_game_01_esrb_Use_of_Tobacco	rc_game_01_esrb_Violence	rc_game_01_esrb_Violent_References	rc_a2	rc_a3dk	rc_game_01_rating_PEGI	rc_game_01_violence_PEGI	rc_game_01_language_PEGI	rc_game_01_fear_PEGI	rc_game_01_gambling_PEGI	rc_game_01_sex_PEGI	rc_game_01_drugs_PEGI	rc_game_01_discrimination_PEGI	rc_game_01_how	rc_game_01_multi	rc_game_01_time	rc_game_02_name	rc_game_02_edition	rc_game02_confidence	rc_game_02_rating_ESRB	rc_game_02_esrb_Alcohol	rc_game_02_esrb_Animated_Blood	rc_game_02_esrb_Blood	rc_game_02_esrb_Blood_and_Gore	rc_game_02_esrb_Cartoon_Violence	rc_game_02_esrb_Comic_Mischief	rc_game_02_esrb_Crude_Humor	rc_game_02_esrb_Drug_Reference	rc_game_02_esrb_Fantasy_Violence	rc_game_02_esrb_Intense_Violence	rc_game_02_esrb_Language	rc_game_02_esrb_Lyrics	rc_game_02_esrb_Mature_Humor	rc_game_02_esrb_Nudity	rc_game_02_esrb_Partial_Nudity	rc_game_02_esrb_Real_Gambling	rc_game_02_esrb_Sexual_Content	rc_game_02_esrb_Sexual_Themes	rc_game_02_esrb_Sexual_Violence	rc_game_02_esrb_Simulated_Gambling	rc_game_02_esrb_Strong_Language	rc_game_02_esrb_Strong_Lyrics	rc_game_02_esrb_Strong_Sexual_Content	rc_game_02_esrb_Suggestive_Themes	rc_game_02_esrb_Tobacco_Reference	rc_game_02_esrb_Use_of_Alcohol	rc_game_02_esrb_Use_of_Drugs	rc_game_02_esrb_Use_of_Tobacco	rc_game_02_esrb_Violence	rc_game_02_esrb_Violent_References	rc_game_02_rating_PEGI	rc_game_02_violence_PEGI	rc_game_02_language_PEGI	rc_game_02_fear_PEGI	rc_game_02_gambling_PEGI	rc_game_02_sex_PEGI	rc_game_02_drugs_PEGI	rc_game_02_discrimination_PEGI	rc_game_02_how	rc_game_02_multi	rc_game_02_time	rc_game_03_name_PEGI	rc_game_03_edition	rc_game_03_confidence	rc_game_03_rating_ESRB	rc_game_03_esrb_Alcohol	rc_game_03_esrb_Animated_Blood	rc_game_03_esrb_Blood	rc_game_03_esrb_Blood_and_Gore	rc_game_03_esrb_Cartoon_Violence	rc_game_03_esrb_Comic_Mischief	rc_game_03_esrb_Crude_Humor	rc_game_03_esrb_Drug_Reference	rc_game_03_esrb_Fantasy_Violence	rc_game_03_esrb_Intense_Violence	rc_game_03_esrb_Language	rc_game_03_esrb_Lyrics	rc_game_03_esrb_Mature_Humor	rc_game_03_esrb_Nudity	rc_game_03_esrb_Partial_Nudity	rc_game_03_esrb_Real_Gambling	rc_game_03_esrb_Sexual_Content	rc_game_03_esrb_Sexual_Themes	rc_game_03_esrb_Sexual_Violence	rc_game_03_esrb_Simulated_Gambling	rc_game_03_esrb_Strong_Language	rc_game_03_esrb_Strong_Lyrics	rc_game_03_esrb_Strong_Sexual_Content	rc_game_03_esrb_Suggestive_Themes	rc_game_03_esrb_Tobacco_Reference	rc_game_03_esrb_Use_of_Alcohol	rc_game_03_esrb_Use_of_Drugs	rc_game_03_esrb_Use_of_Tobacco	rc_game_03_esrb_Violence	rc_game_03_esrb_Violent_References	rc_game_03_rating_PEGI	rc_game_03_violence_PEGI	rc_game_03_language_PEGI	rc_game_03_fear_PEGI	rc_game_03_gambling_PEGI	rc_game_03_sex_PEGI	rc_game_03_drugs_PEGI	rc_game_03_discrimination_PEGI	rc_game_03_how_PEGI	rc_game_03_multi_PEGI	rc_game_03_time_PEGI	game_one_violent_time	pegi_present_one	pegi_present_two	pegi_present_3	pegi_two_violence	agg_01	agg_02	agg_03	agg_04	agg_05	agg_06	agg_07	agg_08	agg_09	agg_10	agg_11	agg_12	trait_physical	trait_verbal	trait_anger	trait_hostility	child_age	game_two_violent_time	pegi_three_violence	game_three_violent_time	game_violent_time	check	gaming_time	game_violent_time_square	pegi_one_sensitivity	pegi_two_sensitivity	pegi_three_sensitivity	game_one_sensitive_time	game_two_sensitive_time	game_three_sensitive_time	game_sensitive_time	game_sensitive_time_squared	violent_game_player	esrb_01_violence	esrb_present	esrb_present_01	esrb_present_02	esrb_02_violence	esrb_present_03	esrb_03_violence	game_one_time	game_two_time	game_three_time	game_01_violent_time_esrb	game_02_violent_time_esrb	game_03_violent_time_esrb	violent_game_time_esrb	game_violent_time_square_esrb	female	conduct_problems	prosocial	ZRE_1	violent_game_time_semi_partial"
"154	154	Would rather not say	Any other Asian or Asian British background	2	15	Mother	Male	Somewhat true	Not true	Not true	Somewhat true	Not true	Somewhat true	Somewhat true	Not true	Somewhat true	Not true	Somewhat true	Not true	Not true	Somewhat true	Not true	Not true	Somewhat true	Not true	Not true	Somewhat true	Somewhat true	Not true	Not true	Not true	Somewhat true	Yes	FIFA	Battlefront	 	Not selected	Console (e.g. PlayStation, Xbox, Nintendo Wii, etc.)	Yes, online only	About 2 hours a day	Console (e.g. PlayStation, Xbox, Nintendo Wii, etc.)	Yes, online only	About 2 hours a day	 	 	 	Agree	Unlike me	Unlike me	Neither like or unlike me	Neither like or unlike me	Unlike me	Neither like or unlike me	Neither like or unlike me	Neither like or unlike me	Neither like or unlike me	Neither like or unlike me	Neither like or unlike me	Neither like or unlike me	07.10.1979	Female	38	25-40	35 to 44	London	0	15	0	2	2	2	2	2	FIFA	FIFA (Unspecified)	0	Rating avaliable for ESRB and PEGI	Early Childhood	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Yes	Not selected	PEGI 3	 	 	 	 	 	 	 	Console (e.g. PlayStation, Xbox, Nintendo Wii, etc.)	Yes, online only	About 2 hours a day	Star Wars: Battlefront	Star Wars: Battlefront (Unspecified)	Rating avaliable for ESRB and PEGI	Everyone 10+	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	PEGI 16	Does contain this content	 	 	 	 	 	 	Console (e.g. PlayStation, Xbox, Nintendo Wii, etc.)	Yes, online only	About 2 hours a day	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	1	0	1	2	2	3	3	2	3	3	3	3	3	3	3	2,666666667	2,333333333	3	3	15	2	 	 	2	4	4	4	0	2	 	0	 	 	0	0	1	0	1	1	1	0	0	 	2	2	 	0	0	 	0	0	0	6	10	-0,223493515	-0,223493515"
"162	162	?150,000 or more	White British	3	14	Guardian/main caregiver	Male	Certainly true	Certainly true	Certainly true	Certainly true	Certainly true	Certainly true	Certainly true	Certainly true	Certainly true	Certainly true	Certainly true	Certainly true	Certainly true	Certainly true	Certainly true	Certainly true	Certainly true	Certainly true	Certainly true	Certainly true	Certainly true	Somewhat true	Certainly true	Certainly true	Certainly true	Yes	 	 	 	Don't know	 	 	 	 	 	 	 	 	 	Strongly agree	Very unlike me	Very unlike me	Very unlike me	Very unlike me	Very unlike me	Very unlike me	Very unlike me	Very unlike me	Very unlike me	Very unlike me	Very unlike me	Very unlike me	03.08.1985	Male	33	25-40	25 to 34	London	0	14	1	1	1	1	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Yes	Don't know	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	0	0	 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	14	 	 	 	 	5	 	 	 	 	 	 	 	 	 	 	0	 	0	0	0	 	0	 	 	 	 	 	 	 	 	 	0	12	15	 	 "
"163	163	Between ?90,000 and ?99,999	White British	2	15	Guardian/main caregiver	Male	Somewhat true	Certainly true	Somewhat true	Somewhat true	Certainly true	Somewhat true	Certainly true	Certainly true	Certainly true	Certainly true	Somewhat true	Certainly true	Certainly true	Certainly true	Somewhat true	Certainly true	Certainly true	Somewhat true	Certainly true	Certainly true	Certainly true	Certainly true	Somewhat true	Certainly true	Somewhat true	Yes	good	 	 	Not selected	Personal Computer (e.g. PC, MAC, laptop, etc.)	Yes, online only	About half an hour a day	 	 	 	 	 	 	Agree	Very like me	Very like me	Very like me	Very like me	Very unlike me	Very like me	Very like me	Very like me	Very like me	Very like me	Very like me	Very like me	6/19/1989	Male	28	25-40	25 to 34	London	0	15	1	1	1	2	2	1	#good	 	 	Respondent does not play a game	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Yes	Not selected	 	 	 	 	 	 	 	 	Personal Computer (e.g. PC, MAC, laptop, etc.)	Yes, online only	About half an hour a day	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	0	0	 	5	5	5	5	1	5	5	5	5	5	5	5	5	3,666666667	5	5	15	 	 	 	 	4	0,5	 	 	 	 	 	 	 	 	 	0	 	0	0	0	 	0	 	0,5	 	 	 	 	 	 	 	0	12	13	 	 "
"166	166	Between ?24,500 and ?34,499	White British	1	14	Mother	Male	Certainly true	Not true	Not true	Certainly true	Not true	Not true	Certainly true	Not true	Certainly true	Somewhat true	Certainly true	Not true	Not true	Certainly true	Somewhat true	Not true	Certainly true	Not true	Not true	Somewhat true	Somewhat true	Not true	Somewhat true	Not true	Certainly true	Yes	 	 	 	Don't know	 	 	 	 	 	 	 	 	 	Neither agree or disagree	Very unlike me	Very unlike me	Very unlike me	Very unlike me	Very unlike me	Very unlike me	Very unlike me	Very unlike me	Very unlike me	Very unlike me	Very unlike me	Very unlike me	5/15/1968	Female	49	41-55	45 to 54	North West	0	14	1	1	2	1	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Yes	Don't know	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	0	0	 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	14	 	 	 	 	3	 	 	 	 	 	 	 	 	 	 	0	 	0	0	0	 	0	 	 	 	 	 	 	 	 	 	0	5	14	 	 "
"168	168	Between ?17,500 and ?24,499	White British	1	15	Mother	Male	Somewhat true	Not true	Not true	Certainly true	Not true	Not true	Somewhat true	Somewhat true	Not true	Not true	Somewhat true	Not true	Not true	Somewhat true	Not true	Not true	Somewhat true	Somewhat true	Not true	Not true	Not true	Not true	Not true	Somewhat true	Somewhat true	Yes	mario kart	 	 	Not selected	Personal Computer (e.g. PC, MAC, laptop, etc.)	Yes, online only	About half an hour a day	 	 	 	 	 	 	Neither agree or disagree	Unlike me	Like me	Neither like or unlike me	Unlike me	Unlike me	Unlike me	Unlike me	Very unlike me	Neither like or unlike me	Neither like or unlike me	Like me	Unlike me	7/29/1978	Female	39	25-40	35 to 44	London	0	15	1	2	3	2	2	2	Mario Kart	Mario Kart 8	0	Rating avaliable for ESRB and PEGI	Everyone	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Yes	Not selected	PEGI 3	 	 	 	 	 	 	 	Personal Computer (e.g. PC, MAC, laptop, etc.)	Yes, online only	About half an hour a day	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	0	0	 	2	4	3	2	2	2	2	1	3	3	4	2	1,666666667	2,666666667	2,666666667	3	15	 	 	 	0	3	0,5	0	0	 	 	0	 	 	0	0	0	0	1	1	0	 	0	 	0,5	 	 	0	 	 	0	0	0	7	9	-0,981530767	-0,981530767"
"170	170	Between ?12,500 and ?17,499	White British	2	14	Mother	Male	Somewhat true	Somewhat true	Not true	Somewhat true	Somewhat true	Not true	Somewhat true	Not true	Certainly true	Somewhat true	Certainly true	Not true	Not true	Certainly true	Somewhat true	Not true	Certainly true	Not true	Not true	Somewhat true	Not true	Not true	Somewhat true	Not true	Not true	Yes	Injustice gods among us	Sonic forces	Grand theft auto 5	Not selected	Console (e.g. PlayStation, Xbox, Nintendo Wii, etc.)	No	About half an hour a day	Console (e.g. PlayStation, Xbox, Nintendo Wii, etc.)	No	About 2 hours a day	Console (e.g. PlayStation, Xbox, Nintendo Wii, etc.)	No	About 1 hour a day	Disagree	Unlike me	Neither like or unlike me	Unlike me	Very unlike me	Unlike me	Unlike me	Neither like or unlike me	Very unlike me	Very unlike me	Very unlike me	Very unlike me	Very unlike me	9/28/1985	Female	32	25-40	25 to 34	East of England	0	14	1	2	3	3	1	1	Injustice: Gods Among Us	 	1	Rating avaliable for ESRB and PEGI	Everyone 10+	 	 	Does contain this content	 	 	 	 	 	 	 	Does contain this content	 	 	 	 	 	 	 	 	 	 	 	 	Does contain this content	 	 	 	 	Does contain this content	 	Yes	Not selected	PEGI 16	Does contain this content	 	 	 	 	 	 	Console (e.g. PlayStation, Xbox, Nintendo Wii, etc.)	No	About half an hour a day	Sonic Forces	 	Rating avaliable for ESRB and PEGI	Everyone	 	 	 	 	Does contain this content	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	PEGI 3	 	 	 	 	 	 	 	Console (e.g. PlayStation, Xbox, Nintendo Wii, etc.)	No	About 2 hours a day	Grand Theft Auto	Grand Theft Auto V	Rating avaliable for ESRB and PEGI	Mature	 	 	Does contain this content	 	 	 	 	 	 	Does contain this content	 	 	 	 	Does contain this content	 	 	 	 	 	Does contain this content	 	Does contain this content	 	 	Does contain this content	Does contain this content	 	 	 	PEGI 17	Does contain this content	Does contain this content	 	 	 	 	 	Console (e.g. PlayStation, Xbox, Nintendo Wii, etc.)	No	About 1 hour a day	0,5	1	1	1	0	2	3	2	1	2	2	3	1	1	1	1	1	1,333333333	2	1,333333333	2	14	0	1	1	1,5	2	3,5	2,25	2	0	3	2	0	3	5	25	1	1	1	1	1	0	1	1	0,5	2	1	0,5	0	1	1,5	2,25	0	7	12	-0,258961282	-0,258961282"
"171	171	Between ?24,500 and ?34,499	White British	3	14	Father	Male	Somewhat true	Not true	Not true	Not true	Somewhat true	Not true	Somewhat true	Not true	Somewhat true	Not true	Certainly true	Not true	Not true	Somewhat true	Somewhat true	Not true	Certainly true	Somewhat true	Somewhat true	Not true	Not true	Not true	Not true	Not true	Somewhat true	Yes	FIFA 18	Titanfall	Destiny	Not selected	Console (e.g. PlayStation, Xbox, Nintendo Wii, etc.)	Yes, online only	About half an hour a day	Console (e.g. PlayStation, Xbox, Nintendo Wii, etc.)	Yes, online and offline	About half an hour a day	Console (e.g. PlayStation, Xbox, Nintendo Wii, etc.)	Yes, online and offline	About 1 hour a day	Strongly agree	Unlike me	Unlike me	Unlike me	Like me	Very unlike me	Unlike me	Neither like or unlike me	Very unlike me	Very unlike me	Unlike me	Very unlike me	Neither like or unlike me	8/15/1979	Male	38	25-40	35 to 44	East Midlands	0	14	1	2	3	2	1	2	FIFA	FIFA 18	0	Rating avaliable for ESRB and PEGI	Early Childhood	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Yes	Not selected	PEGI 3	 	 	 	 	 	 	 	Console (e.g. PlayStation, Xbox, Nintendo Wii, etc.)	Yes, online only	About half an hour a day	Titanfall	Titanfall (Unspecifed)	Rating avaliable for ESRB and PEGI, but edition unspecified	Mature	 	 	 	Does contain this content	 	 	 	 	 	 	Does contain this content	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Does contain this content	 	PEGI 16	Does contain this content	 	 	 	 	 	 	Console (e.g. PlayStation, Xbox, Nintendo Wii, etc.)	Yes, online and offline	About half an hour a day	Destiny	Destiny (Unspecified)	Rating avaliable for ESRB and PEGI	Teen	 	Does contain this content	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Does contain this content	 	PEGI 16	Does contain this content	 	 	 	 	 	 	Console (e.g. PlayStation, Xbox, Nintendo Wii, etc.)	Yes, online and offline	About 1 hour a day	0	1	1	1	1	2	2	2	4	1	2	3	1	1	2	1	3	2,333333333	2	1,666666667	2	14	0,5	1	1	1,5	5	2	2,25	0	2	2	0	2	2	4	16	1	0	1	1	1	1	1	1	0,5	0,5	1	0	0,5	1	1,5	2,25	0	8	9	-0,37435535	-0,37435535"
"175	175	?150,000 or more	White British	3	14	Guardian/main caregiver	Male	Certainly true	Certainly true	Certainly true	Certainly true	Certainly true	Certainly true	Certainly true	Certainly true	Certainly true	Certainly true	Certainly true	Certainly true	Certainly true	Certainly true	Certainly true	Certainly true	Certainly true	Certainly true	Certainly true	Certainly true	Certainly true	Certainly true	Somewhat true	Certainly true	Certainly true	Yes	 	 	 	Don't know	 	 	 	 	 	 	 	 	 	Strongly agree	Very like me	Very like me	Very like me	Very like me	Very like me	Very like me	Very like me	Very like me	Very like me	Very like me	Very like me	Very like me	03.08.1985	Male	33	25-40	25 to 34	London	0	14	1	1	1	1	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Yes	Don't know	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	0	0	 	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	14	 	 	 	 	5	 	 	 	 	 	 	 	 	 	 	0	 	0	0	0	 	0	 	 	 	 	 	 	 	 	 	0	13	15	 	 "
"176	176	Between ?100,000 and ?149,999	White British	2	15	Father	Male	Certainly true	Somewhat true	Certainly true	Certainly true	Somewhat true	Somewhat true	Not true	Somewhat true	Certainly true	Certainly true	Certainly true	Certainly true	Somewhat true	Not true	Certainly true	Not true	Somewhat true	Somewhat true	Somewhat true	Somewhat true	Somewhat true	Certainly true	Somewhat true	Somewhat true	Certainly true	Yes	COD	 	 	Not selected	Personal Computer (e.g. PC, MAC, laptop, etc.)	Yes, online and offline	About 3 hours a day	 	 	 	 	 	 	Agree	Like me	Like me	Like me	Very like me	Very like me	Like me	Like me	Very like me	Like me	Neither like or unlike me	Very like me	Very like me	11/19/1981	Male	36	25-40	35 to 44	London	0	15	1	3	2	1	1	3	Call of Duty	Call of Duty (Unspecified)	1	Rating avaliable for ESRB and PEGI, but edition unspecified	Everyone 10+	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Yes	Not selected	PEGI 18	Does contain this content	 	 	 	 	 	 	Personal Computer (e.g. PC, MAC, laptop, etc.)	Yes, online and offline	About 3 hours a day	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3	1	0	0	 	4	4	4	5	5	4	4	5	4	3	5	5	4,666666667	4,666666667	3,666666667	4,333333333	15	 	 	 	3	4	3	9	3	 	 	 	 	 	 	 	1	0	1	1	0	 	0	 	3	 	 	0	 	 	0	0	0	13	13	0,126255758	0,126255758"
"177	177	Between ?100,000 and ?149,999	White British	2	15	Father	Male	Certainly true	Certainly true	Somewhat true	Certainly true	Somewhat true	Somewhat true	Not true	Certainly true	Certainly true	Not true	Somewhat true	Certainly true	Certainly true	Not true	Somewhat true	Certainly true	Somewhat true	Certainly true	Certainly true	Somewhat true	Somewhat true	Somewhat true	Not true	Certainly true	Somewhat true	Yes	fasdfasdf	 	 	Not selected	Personal Computer (e.g. PC, MAC, laptop, etc.)	Yes, online and offline	About 2 hours a day	 	 	 	 	 	 	Agree	Like me	Very like me	Like me	Like me	Like me	Very like me	Neither like or unlike me	Very like me	Like me	Very like me	Like me	Very like me	11/19/1981	Male	36	25-40	35 to 44	London	0	15	1	3	2	2	2	3	#fasdfasdf	 	 	Respondent does not play a game	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Yes	Not selected	 	 	 	 	 	 	 	 	Personal Computer (e.g. PC, MAC, laptop, etc.)	Yes, online and offline	About 2 hours a day	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	0	0	 	4	5	4	4	4	5	3	5	4	5	4	5	4,333333333	4,666666667	4,666666667	3,666666667	15	 	 	 	 	4	2	 	 	 	 	 	 	 	 	 	0	 	0	0	0	 	0	 	2	 	 	 	 	 	 	 	0	13	13	 	 "
"178	178	Between ?6,500 and ?12,499	White British	2	15	Mother	Male	Certainly true	Not true	Somewhat true	Certainly true	Certainly true	Certainly true	Somewhat true	Certainly true	Certainly true	Somewhat true	Somewhat true	Not true	Certainly true	Certainly true	Somewhat true	Somewhat true	Certainly true	Certainly true	Not true	Somewhat true	Somewhat true	Not true	Somewhat true	Not true	Somewhat true	Yes	destiny 2	titanfall 2	halo wars	Not selected	Console (e.g. PlayStation, Xbox, Nintendo Wii, etc.)	Yes, online and offline	About 3 hours a day	Console (e.g. PlayStation, Xbox, Nintendo Wii, etc.)	Yes, online and offline	About 1 hour a day	Console (e.g. PlayStation, Xbox, Nintendo Wii, etc.)	Yes, online and offline	About 1 hour a day	Agree	Unlike me	Very like me	Very like me	Very like me	Very like me	Neither like or unlike me	Very like me	Very unlike me	Unlike me	Very like me	Very like me	Very like me	5/22/1985	Female	32	25-40	25 to 34	South East	0	15	1	2	2	2	2	1	Destiny	Destiny 2	1	Rating avaliable for ESRB and PEGI	Everyone 10+	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Yes	Not selected	PEGI 16	Does contain this content	 	 	 	 	 	 	Console (e.g. PlayStation, Xbox, Nintendo Wii, etc.)	Yes, online and offline	About 3 hours a day	Titanfall	Titanfall 2	Rating avaliable for ESRB and PEGI	Mature	 	 	 	Does contain this content	 	 	 	 	 	 	Does contain this content	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Does contain this content	 	PEGI 16	Does contain this content	 	 	 	 	 	 	Console (e.g. PlayStation, Xbox, Nintendo Wii, etc.)	Yes, online and offline	About 1 hour a day	Halo	Halo Wars	Rating avaliable for ESRB and PEGI	Mature	 	 	 	Does contain this content	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Does contain this content	 	PEGI 16	Does contain this content	 	 	 	 	 	 	Console (e.g. PlayStation, Xbox, Nintendo Wii, etc.)	Yes, online and offline	About 1 hour a day	3	1	1	1	1	2	5	5	5	5	3	5	1	2	5	5	5	2,666666667	5	3,333333333	5	15	1	1	1	5	4	5	25	2	2	2	2	2	2	6	36	1	0	1	1	1	1	1	1	3	1	1	0	1	1	2	4	0	10	14	1,261331925	1,261331925"
